Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Revenue,Cost,Profit
ORD-2026-1001,2026-01-14,CUST-101,Office Ergonomic Chair,Furniture,North,3,250.00,0.05,712.50,480.00,232.50
ORD-2026-1002,2026-01-18,CUST-108,Mechanical Keyboard,Electronics,East,4,110.00,0.00,440.00,320.00,120.00
ORD-2026-1003,2026-01-22,CUST-115,Standing Desk 60in,Furniture,North,2,420.00,0.10,756.00,560.00,196.00
ORD-2026-1004,2026-01-29,CUST-121,Gel Ink Pen 12pk,Office Supplies,West,12,14.50,0.00,174.00,96.00,78.00
ORD-2026-1005,2026-02-04,CUST-104,27in 4K Monitor,Electronics,North,2,380.00,0.05,722.00,580.00,142.00
ORD-2026-1006,2026-02-11,CUST-130,A4 Copy Paper Box,Office Supplies,East,20,28.00,0.10,504.00,360.00,144.00
ORD-2026-1007,2026-02-18,CUST-142,Wireless Trackball,Electronics,South,5,65.00,0.00,325.00,220.00,105.00
ORD-2026-1008,2026-02-25,CUST-119,Leather Executive Chair,Furniture,East,1,550.00,0.05,522.50,390.00,132.50
ORD-2026-1009,2026-03-02,CUST-155,Steel Filing Cabinet,Furniture,West,2,210.00,0.00,420.00,290.00,130.00
ORD-2026-1010,2026-03-12,CUST-162,Noise-Cancelling Headset,Electronics,North,3,190.00,0.05,541.50,420.00,121.50
ORD-2026-1011,2026-03-20,CUST-170,Heavy Duty Stapler,Office Supplies,South,8,22.00,0.00,176.00,112.00,64.00
ORD-2026-1012,2026-03-27,CUST-109,27in 4K Monitor,Electronics,East,1,380.00,0.00,380.00,290.00,90.00
ORD-2026-1013,2026-04-03,CUST-180,Ultra-Slim Laptop 15,Electronics,South,2,950.00,0.35,1235.00,1520.00,-285.00
ORD-2026-1014,2026-04-09,CUST-185,Ultra-Slim Laptop 15,Electronics,West,3,950.00,0.40,1710.00,2280.00,-570.00
ORD-2026-1015,2026-04-14,CUST-192,27in 4K Monitor,Electronics,West,4,380.00,0.30,1064.00,1200.00,-136.00
ORD-2026-1016,2026-04-19,CUST-122,Standing Desk 60in,Furniture,South,1,420.00,0.25,315.00,310.00,5.00
ORD-2026-1017,2026-04-26,CUST-134,Noise-Cancelling Headset,Electronics,South,5,190.00,0.45,522.50,700.00,-177.50
ORD-2026-1018,2026-05-02,CUST-145,Ultra-Slim Laptop 15,Electronics,North,4,950.00,0.35,2470.00,3040.00,-570.00
ORD-2026-1019,2026-05-08,CUST-156,Mechanical Keyboard,Electronics,West,6,110.00,0.30,462.00,510.00,-48.00
ORD-2026-1020,2026-05-15,CUST-168,Office Ergonomic Chair,Furniture,South,2,250.00,0.20,400.00,380.00,20.00
ORD-2026-1021,2026-05-22,CUST-177,A4 Copy Paper Box,Office Supplies,West,15,28.00,0.15,357.00,330.00,27.00
ORD-2026-1022,2026-05-29,CUST-189,27in 4K Monitor,Electronics,South,3,380.00,0.35,741.00,930.00,-189.00
ORD-2026-1023,2026-06-05,CUST-199,Ultra-Slim Laptop 15,Electronics,East,2,950.00,0.45,1045.00,1520.00,-475.00
ORD-2026-1024,2026-06-12,CUST-103,Steel Filing Cabinet,Furniture,West,1,210.00,0.15,178.50,175.00,3.50
ORD-2026-1025,2026-06-18,CUST-112,Noise-Cancelling Headset,Electronics,West,6,190.00,0.50,570.00,840.00,-270.00
ORD-2026-1026,2026-06-25,CUST-127,Ultra-Slim Laptop 15,Electronics,South,3,950.00,0.40,1710.00,2280.00,-570.00
ORD-2026-1027,2026-07-03,CUST-139,Gel Ink Pen 12pk,Office Supplies,North,10,14.50,0.05,137.75,90.00,47.75
ORD-2026-1028,2026-07-11,CUST-148,Leather Executive Chair,Furniture,North,2,550.00,0.10,990.00,820.00,170.00
ORD-2026-1029,2026-07-19,CUST-159,Mechanical Keyboard,Electronics,North,3,110.00,0.10,297.00,240.00,57.00
ORD-2026-1030,2026-07-28,CUST-165,Standing Desk 60in,Furniture,East,2,420.00,0.10,756.00,600.00,156.00
