Order_ID,Order_Date,Customer_ID,Product,Category,Region,Quantity,Unit_Price,Discount,Revenue,Cost,Profit
ORD-2026-1000,2026-03-09,CUST-125,Binder Clip Pack,Office Supplies,North,4,51.08,0.0,204.3,132.8,71.5
ORD-2026-1001,2026-06-21,CUST-114,Laptop,Electronics,West,5,402.57,0.35,1308.37,1449.27,-140.9
ORD-2026-1002,2026-05-12,CUST-126,Notebook,Office Supplies,North,5,52.0,0.0,259.99,168.99,91.0
ORD-2026-1003,2026-04-18,CUST-200,Pen Set,Office Supplies,North,6,31.62,0.05,180.21,123.3,56.91
ORD-2026-1004,2026-01-29,CUST-223,Standing Desk,Furniture,East,3,243.65,0.0,730.95,475.12,255.83
ORD-2026-1005,2026-01-29,CUST-117,Standing Desk,Furniture,North,1,91.52,0.1,82.37,59.49,22.88
ORD-2026-1006,2026-01-11,CUST-152,Desk Organizer,Office Supplies,South,10,17.96,0.05,170.64,116.75,53.89
ORD-2026-1007,2026-06-05,CUST-271,Wireless Headphones,Electronics,West,3,622.23,0.35,1213.36,1344.02,-130.66
ORD-2026-1008,2026-04-19,CUST-298,Smartwatch,Electronics,West,1,244.66,0.15,207.96,176.16,31.8
ORD-2026-1009,2026-05-08,CUST-216,Smartwatch,Electronics,North,1,489.32,0.15,415.92,352.31,63.61
ORD-2026-1010,2026-01-04,CUST-163,Desk Lamp,Furniture,South,1,248.43,0.0,248.43,161.48,86.95
ORD-2026-1011,2026-06-24,CUST-201,Wireless Headphones,Electronics,East,5,314.33,0.35,1021.57,1131.59,-110.02
ORD-2026-1012,2026-05-30,CUST-145,Binder Clip Pack,Office Supplies,South,2,15.25,0.0,30.49,19.82,10.67
ORD-2026-1013,2026-02-08,CUST-259,Smartwatch,Electronics,South,1,318.28,0.0,318.28,229.16,89.12
ORD-2026-1014,2026-02-02,CUST-176,Notebook,Office Supplies,South,14,14.39,0.0,201.51,130.98,70.53
ORD-2026-1015,2026-02-03,CUST-242,Laptop,Electronics,South,2,931.97,0.05,1770.75,1342.04,428.71
ORD-2026-1016,2026-02-24,CUST-233,Wireless Headphones,Electronics,East,5,911.24,0.05,4328.39,3280.46,1047.93
ORD-2026-1017,2026-04-05,CUST-171,Ergonomic Chair,Furniture,North,2,280.28,0.15,476.48,364.36,112.12
ORD-2026-1018,2026-03-19,CUST-183,Standing Desk,Furniture,East,3,306.54,0.0,919.61,597.75,321.86
ORD-2026-1019,2026-02-22,CUST-287,Standing Desk,Furniture,West,3,247.36,0.0,742.07,482.35,259.72
ORD-2026-1020,2026-04-21,CUST-221,Bookshelf,Furniture,East,1,299.51,0.0,299.51,194.68,104.83
ORD-2026-1021,2026-01-26,CUST-150,Laptop,Electronics,South,5,295.69,0.05,1404.55,1064.5,340.05
ORD-2026-1022,2026-02-22,CUST-255,Laptop,Electronics,East,1,332.76,0.0,332.76,239.59,93.17
ORD-2026-1023,2026-03-07,CUST-148,Wireless Headphones,Electronics,North,1,484.72,0.05,460.48,349.0,111.48
ORD-2026-1024,2026-03-24,CUST-207,Binder Clip Pack,Office Supplies,South,6,52.31,0.0,313.87,204.02,109.85
ORD-2026-1025,2026-05-22,CUST-216,Desk Organizer,Office Supplies,North,10,53.35,0.0,533.52,346.79,186.73
ORD-2026-1026,2026-02-05,CUST-285,Smartwatch,Electronics,West,2,870.56,0.1,1567.01,1253.61,313.4
ORD-2026-1027,2026-04-03,CUST-198,Desk Organizer,Office Supplies,South,6,33.29,0.0,199.74,129.83,69.91
ORD-2026-1028,2026-04-17,CUST-101,Desk Organizer,Office Supplies,West,13,18.98,0.0,246.79,160.41,86.38
ORD-2026-1029,2026-01-09,CUST-113,Smartphone,Electronics,North,4,499.73,0.0,1998.93,1439.23,559.7
ORD-2026-1030,2026-04-20,CUST-127,Ergonomic Chair,Furniture,East,1,115.25,0.0,115.25,74.91,40.34
ORD-2026-1031,2026-01-31,CUST-144,Smartphone,Electronics,North,4,620.73,0.0,2482.92,1787.7,695.22
ORD-2026-1032,2026-01-12,CUST-175,Wireless Headphones,Electronics,North,2,208.8,0.0,417.59,300.66,116.93
ORD-2026-1033,2026-06-20,CUST-163,Notebook,Office Supplies,South,13,39.39,0.0,512.12,332.88,179.24
ORD-2026-1034,2026-06-23,CUST-148,Smartwatch,Electronics,North,5,606.08,0.25,2272.8,2181.89,90.91
ORD-2026-1035,2026-05-26,CUST-288,Desk Organizer,Office Supplies,South,7,53.21,0.0,372.48,242.11,130.37
ORD-2026-1036,2026-02-24,CUST-100,Laptop,Electronics,North,4,574.94,0.0,2299.74,1655.81,643.93
ORD-2026-1037,2026-01-18,CUST-111,Laptop,Electronics,North,1,220.84,0.0,220.84,159.0,61.84
ORD-2026-1038,2026-05-04,CUST-128,Smartphone,Electronics,South,2,572.99,0.25,859.49,825.11,34.38
ORD-2026-1039,2026-03-21,CUST-183,Binder Clip Pack,Office Supplies,North,8,36.09,0.0,288.69,187.65,101.04
ORD-2026-1040,2026-01-22,CUST-107,Laptop,Electronics,South,2,713.74,0.05,1356.12,1027.79,328.33
ORD-2026-1041,2026-03-31,CUST-185,Notebook,Office Supplies,East,7,17.81,0.05,118.43,81.03,37.4
ORD-2026-1042,2026-01-07,CUST-244,Smartphone,Electronics,West,2,905.69,0.0,1811.38,1304.19,507.19
ORD-2026-1043,2026-06-13,CUST-295,Binder Clip Pack,Office Supplies,East,9,11.52,0.0,103.67,67.39,36.28
ORD-2026-1044,2026-02-16,CUST-289,Bookshelf,Furniture,West,1,385.93,0.1,347.34,250.85,96.49
ORD-2026-1045,2026-04-30,CUST-275,Standing Desk,Furniture,East,1,197.7,0.0,197.7,128.5,69.2
ORD-2026-1046,2026-02-26,CUST-201,Notebook,Office Supplies,East,5,46.92,0.0,234.61,152.5,82.11
ORD-2026-1047,2026-04-04,CUST-182,Laptop,Electronics,South,5,714.3,0.35,2321.48,2571.49,-250.01
ORD-2026-1048,2026-04-09,CUST-164,Notebook,Office Supplies,North,10,37.22,0.0,372.24,241.96,130.28
ORD-2026-1049,2026-02-03,CUST-148,Wireless Headphones,Electronics,East,5,454.34,0.0,2271.68,1635.61,636.07
ORD-2026-1050,2026-06-24,CUST-173,Bookshelf,Furniture,North,3,107.08,0.0,321.25,208.81,112.44
ORD-2026-1051,2026-05-20,CUST-216,Notebook,Office Supplies,South,3,53.17,0.0,159.5,103.67,55.83
ORD-2026-1052,2026-06-19,CUST-114,Notebook,Office Supplies,South,6,29.94,0.0,179.65,116.77,62.88
ORD-2026-1053,2026-06-11,CUST-120,Wireless Headphones,Electronics,West,3,594.09,0.25,1336.7,1283.23,53.47
ORD-2026-1054,2026-04-18,CUST-150,Wireless Headphones,Electronics,West,1,169.76,0.25,127.32,122.23,5.09
ORD-2026-1055,2026-06-15,CUST-216,Smartphone,Electronics,South,5,250.63,0.25,939.86,902.27,37.59
ORD-2026-1056,2026-01-16,CUST-245,Wireless Headphones,Electronics,West,2,575.81,0.05,1094.04,829.17,264.87
ORD-2026-1057,2026-02-05,CUST-207,Smartphone,Electronics,South,3,247.51,0.0,742.53,534.62,207.91
ORD-2026-1058,2026-01-09,CUST-141,Smartphone,Electronics,North,1,386.22,0.0,386.22,278.08,108.14
ORD-2026-1059,2026-02-28,CUST-272,Desk Organizer,Office Supplies,South,2,50.3,0.0,100.6,65.39,35.21
ORD-2026-1060,2026-03-11,CUST-236,Bookshelf,Furniture,North,1,316.05,0.15,268.64,205.43,63.21
ORD-2026-1061,2026-02-18,CUST-251,Binder Clip Pack,Office Supplies,East,14,30.55,0.05,406.33,278.02,128.31
ORD-2026-1062,2026-05-30,CUST-266,Laptop,Electronics,North,3,321.15,0.35,626.25,693.69,-67.44
